Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Transcriptional misregulation in cancer	10/186	3.851334e-01	6.727947e-01	0	0	1.145955e+00	1.093431e+00	NGFR;MEF2C;CCND2;MYCN;FLT1;HPGD;IGFBP3;IL2RB;TMPRSS2;DDB2
KEGG_2019_Human	Th17 cell differentiation	6/107	3.949930e-01	6.857854e-01	0	0	1.197788e+00	1.112610e+00	HLA-DRB4;IL2RB;HLA-DPB1;GATA3;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	Linoleic acid metabolism	2/29	4.015568e-01	6.879168e-01	0	0	1.493016e+00	1.362238e+00	CYP2J2;CYP2E1
KEGG_2019_Human	Amphetamine addiction	4/68	4.023328e-01	6.879168e-01	0	0	1.259952e+00	1.147156e+00	DDC;CALML3;SLC6A3;GRIA4
KEGG_2019_Human	Insulin resistance	6/108	4.035130e-01	6.879168e-01	0	0	1.185982e+00	1.076334e+00	G6PC;PPP1R3C;CD36;PCK1;SLC27A2;PCK2
KEGG_2019_Human	Cocaine addiction	3/49	4.107529e-01	6.919972e-01	0	0	1.314583e+00	1.169668e+00	DDC;BDNF;SLC6A3
KEGG_2019_Human	Taurine and hypotaurine metabolism	1/11	4.132421e-01	6.919972e-01	0	0	2.015238e+00	1.780909e+00	GGT6
KEGG_2019_Human	Ubiquinone and other terpenoid-quinone biosynthesis	1/11	4.132421e-01	6.919972e-01	0	0	2.015238e+00	1.780909e+00	HPD
KEGG_2019_Human	Salivary secretion	5/90	4.225168e-01	7.033663e-01	0	0	1.185785e+00	1.021584e+00	KCNMA1;CALML3;NOS1;ADCY8;LYZ
KEGG_2019_Human	Dilated cardiomyopathy (DCM)	5/91	4.319137e-01	7.106487e-01	0	0	1.171935e+00	9.838738e-01	ITGA4;TNNC1;TNNT2;ITGA5;ADCY8
KEGG_2019_Human	Morphine addiction	5/91	4.319137e-01	7.106487e-01	0	0	1.171935e+00	9.838738e-01	GNGT1;GABRA2;GABRP;ADCY8;GABRD
KEGG_2019_Human	Circadian rhythm	2/31	4.347578e-01	7.111934e-01	0	0	1.389904e+00	1.157743e+00	BHLHE41;RORB
KEGG_2019_Human	Oxidative phosphorylation	7/133	4.415546e-01	7.181606e-01	0	0	1.119867e+00	9.154397e-01	NDUFA4L2;ATP6V0A4;ATP6V1G3;ATP6V0E2;ATP6V0D2;ATP6V1C2;ATP6V1B1
KEGG_2019_Human	Glycosaminoglycan biosynthesis	3/53	4.612529e-01	7.427274e-01	0	0	1.209162e+00	9.356604e-01	CHST15;CHSY3;HS6ST2
KEGG_2019_Human	Thyroid hormone synthesis	4/74	4.662021e-01	7.427274e-01	0	0	1.151592e+00	8.788216e-01	IYD;ALB;ADCY8;SLC26A4
KEGG_2019_Human	Fatty acid biosynthesis	1/13	4.674670e-01	7.427274e-01	0	0	1.679189e+00	1.276900e+00	ACSBG2
KEGG_2019_Human	Thyroid hormone signaling pathway	6/116	4.710572e-01	7.427274e-01	0	0	1.099265e+00	8.275000e-01	PFKFB2;CCND1;DIO1;SLC16A10;PLCD4;PFKP
KEGG_2019_Human	Apelin signaling pathway	7/137	4.724061e-01	7.427274e-01	0	0	1.085181e+00	8.137946e-01	GNGT1;MEF2C;CCND1;SERPINE1;CALML3;NOS1;ADCY8
KEGG_2019_Human	Insulin signaling pathway	7/137	4.724061e-01	7.427274e-01	0	0	1.085181e+00	8.137946e-01	G6PC;PPP1R3C;PKLR;CALML3;PCK1;FBP1;PCK2
KEGG_2019_Human	Circadian entrainment	5/97	4.874575e-01	7.541634e-01	0	0	1.095158e+00	7.869280e-01	GNGT1;CALML3;NOS1;ADCY8;GRIA4
KEGG_2019_Human	Glycerophospholipid metabolism	5/97	4.874575e-01	7.541634e-01	0	0	1.095158e+00	7.869280e-01	ETNK2;GPD1;LPCAT1;GPD1L;ETNPPL
KEGG_2019_Human	Signaling pathways regulating pluripotency of stem cells	7/139	4.876746e-01	7.541634e-01	0	0	1.068626e+00	7.673874e-01	DLX5;ESRRB;ID3;INHBB;INHBA;BMPR1B;DUSP9
KEGG_2019_Human	Melanogenesis	5/101	5.233916e-01	8.049991e-01	0	0	1.049305e+00	6.793465e-01	EDN1;EDNRB;TYRP1;CALML3;ADCY8
KEGG_2019_Human	Thyroid cancer	2/37	5.278828e-01	8.057771e-01	0	0	1.151271e+00	7.355253e-01	CCND1;DDB2
KEGG_2019_Human	cGMP-PKG signaling pathway	8/166	5.295920e-01	8.057771e-01	0	0	1.019999e+00	6.483609e-01	EDNRA;MEF2C;EDNRB;ADORA3;KCNMA1;CALML3;ADCY8;KNG1
KEGG_2019_Human	Glucagon signaling pathway	5/103	5.409452e-01	8.186497e-01	0	0	1.027782e+00	6.315075e-01	G6PC;CALML3;PCK1;FBP1;PCK2
KEGG_2019_Human	Retrograde endocannabinoid signaling	7/148	5.545093e-01	8.338213e-01	0	0	9.999396e-01	5.896360e-01	GNGT1;GABRA2;GABRP;NDUFA4L2;ADCY8;GABRD;GRIA4
KEGG_2019_Human	Tight junction	8/170	5.568630e-01	8.338213e-01	0	0	9.946037e-01	5.822768e-01	CLDN10;CCND1;TUBAL3;CLDN8;MARVELD3;CLDN19;CD1D;CLDN16
KEGG_2019_Human	Selenocompound metabolism	1/17	5.613594e-01	8.361301e-01	0	0	1.259127e+00	7.270123e-01	CTH
KEGG_2019_Human	Ferroptosis	2/40	5.703865e-01	8.451276e-01	0	0	1.060214e+00	5.952478e-01	SAT2;CP
KEGG_2019_Human	Cytosolic DNA-sensing pathway	3/63	5.779922e-01	8.519365e-01	0	0	1.007105e+00	5.520898e-01	CXCL10;CCL5;CCL4
KEGG_2019_Human	Cortisol synthesis and secretion	3/65	5.993580e-01	8.780410e-01	0	0	9.745151e-01	4.988506e-01	SCARB1;ADCY8;CYP17A1
KEGG_2019_Human	Glycosaminoglycan degradation	1/19	6.019079e-01	8.780410e-01	0	0	1.119106e+00	5.681152e-01	HYAL1
KEGG_2019_Human	Long-term potentiation	3/67	6.200012e-01	8.962950e-01	0	0	9.439621e-01	4.512459e-01	PPP1R1A;CALML3;ADCY8
KEGG_2019_Human	One carbon pool by folate	1/20	6.207555e-01	8.962950e-01	0	0	1.060150e+00	5.054987e-01	FTCD
KEGG_2019_Human	Glutamatergic synapse	5/114	6.314897e-01	9.028913e-01	0	0	9.235247e-01	4.245200e-01	GNGT1;GRIK3;SLC1A3;ADCY8;GRIA4
KEGG_2019_Human	Glycosphingolipid biosynthesis	2/45	6.348953e-01	9.028913e-01	0	0	9.366870e-01	4.255324e-01	FUT6;FUT3
KEGG_2019_Human	Proteasome	2/45	6.348953e-01	9.028913e-01	0	0	9.366870e-01	4.255324e-01	PSMB8;PSMB9
KEGG_2019_Human	IL-17 signaling pathway	4/93	6.468384e-01	9.152763e-01	0	0	9.048403e-01	3.942016e-01	CXCL10;CCL11;MMP1;IL17RB
KEGG_2019_Human	Arrhythmogenic right ventricular cardiomyopathy (ARVC)	3/72	6.683726e-01	9.345908e-01	0	0	8.753285e-01	3.526782e-01	GJA1;ITGA4;ITGA5
KEGG_2019_Human	Notch signaling pathway	2/48	6.698184e-01	9.345908e-01	0	0	8.754606e-01	3.508396e-01	DLL4;DTX1
KEGG_2019_Human	Apoptosis	6/143	6.748159e-01	9.345908e-01	0	0	8.813636e-01	3.466538e-01	NGFR;TUBAL3;IL3RA;CTSW;CTSV;CTSS
KEGG_2019_Human	Human immunodeficiency virus 1 infection	9/212	6.770004e-01	9.345908e-01	0	0	8.919516e-01	3.479355e-01	GNGT1;CXCR4;PAK6;TAP1;CALML3;HLA-F;CCR5;HLA-G;AP1M2
KEGG_2019_Human	cAMP signaling pathway	9/212	6.770004e-01	9.345908e-01	0	0	8.919516e-01	3.479355e-01	EDNRA;EDN1;SUCNR1;BDNF;HHIP;CALML3;ADCY8;RAPGEF4;GRIA4
KEGG_2019_Human	Bacterial invasion of epithelial cells	3/74	6.864143e-01	9.393051e-01	0	0	8.505818e-01	3.200517e-01	CAV2;CAV1;ITGA5
KEGG_2019_Human	Pancreatic secretion	4/98	6.870536e-01	9.393051e-01	0	0	8.564846e-01	3.214755e-01	CPA3;KCNMA1;CEL;ADCY8
KEGG_2019_Human	Phosphatidylinositol signaling system	4/99	6.946956e-01	9.451869e-01	0	0	8.474243e-01	3.087010e-01	INPP5J;CALML3;PIK3C2G;PLCD4
KEGG_2019_Human	alpha-Linolenic acid metabolism	1/25	7.024351e-01	9.482145e-01	0	0	8.390653e-01	2.963598e-01	ACAA1
KEGG_2019_Human	Platelet activation	5/124	7.036221e-01	9.482145e-01	0	0	8.454710e-01	2.971948e-01	COL1A1;P2RY12;COL1A2;VWF;ADCY8
KEGG_2019_Human	T cell receptor signaling pathway	4/101	7.095772e-01	9.517078e-01	0	0	8.298641e-01	2.847147e-01	PTPRC;CD8A;PAK6;ICOS
KEGG_2019_Human	Maturity onset diabetes of the young	1/26	7.165274e-01	9.564965e-01	0	0	8.054603e-01	2.684911e-01	PKLR
KEGG_2019_Human	RNA degradation	3/79	7.282751e-01	9.601159e-01	0	0	7.944131e-01	2.518897e-01	PABPC4L;ENO2;PFKP
KEGG_2019_Human	Biosynthesis of unsaturated fatty acids	1/27	7.299531e-01	9.601159e-01	0	0	7.744404e-01	2.437745e-01	ACAA1
KEGG_2019_Human	Oxytocin signaling pathway	6/153	7.359831e-01	9.601159e-01	0	0	8.209726e-01	2.516676e-01	MEF2C;CCND1;CALML3;ADCY8;EGFR;KCNJ2
KEGG_2019_Human	Viral carcinogenesis	8/201	7.396877e-01	9.601159e-01	0	0	8.334788e-01	2.513166e-01	C3;CDKN2B;CCND2;CCND1;HLA-F;CCR5;HLA-G;ATP6V0D2
KEGG_2019_Human	Legionellosis	2/55	7.407758e-01	9.601159e-01	0	0	7.595539e-01	2.279097e-01	C3;ITGB2
KEGG_2019_Human	Pathogenic Escherichia coli infection	2/55	7.407758e-01	9.601159e-01	0	0	7.595539e-01	2.279097e-01	TUBB2B;TUBAL3
KEGG_2019_Human	Cushing syndrome	6/155	7.471764e-01	9.601159e-01	0	0	8.098672e-01	2.360390e-01	SCARB1;CDKN2B;CCND1;ADCY8;EGFR;CYP17A1
KEGG_2019_Human	Dopaminergic synapse	5/131	7.479029e-01	9.601159e-01	0	0	7.982052e-01	2.318643e-01	GNGT1;DDC;CALML3;SLC6A3;GRIA4
KEGG_2019_Human	Glutathione metabolism	2/56	7.497725e-01	9.601159e-01	0	0	7.454488e-01	2.146784e-01	GSTM3;GGT6
KEGG_2019_Human	VEGF signaling pathway	2/59	7.751641e-01	9.881597e-01	0	0	7.061032e-01	1.798307e-01	KDR;VEGFA
KEGG_2019_Human	Insulin secretion	3/86	7.793455e-01	9.890349e-01	0	0	7.271461e-01	1.812781e-01	KCNMA1;ADCY8;RAPGEF4
KEGG_2019_Human	Serotonergic synapse	4/113	7.877646e-01	9.952562e-01	0	0	7.380354e-01	1.760627e-01	CYP2J2;GNGT1;DDC;ALOX5
KEGG_2019_Human	Basal cell carcinoma	2/63	8.054961e-01	9.999956e-01	0	0	6.596624e-01	1.426829e-01	HHIP;DDB2
KEGG_2019_Human	GnRH signaling pathway	3/93	8.222388e-01	9.999956e-01	0	0	6.703429e-01	1.312024e-01	CALML3;ADCY8;EGFR
KEGG_2019_Human	Aldosterone synthesis and secretion	3/98	8.483398e-01	9.999956e-01	0	0	6.348942e-01	1.044236e-01	SCARB1;CALML3;ADCY8
KEGG_2019_Human	mTOR signaling pathway	5/152	8.510521e-01	9.999956e-01	0	0	6.834168e-01	1.102228e-01	DDIT4;ATP6V1G3;RNF152;ATP6V1C2;ATP6V1B1
KEGG_2019_Human	Osteoclast differentiation	4/127	8.566791e-01	9.999956e-01	0	0	6.535481e-01	1.010986e-01	TYROBP;TREM2;LILRB1;LILRB2
KEGG_2019_Human	Homologous recombination	1/41	8.631258e-01	9.999956e-01	0	0	5.030159e-01	7.404132e-02	BRCA2
KEGG_2019_Human	Natural killer cell mediated cytotoxicity	4/131	8.724851e-01	9.999956e-01	0	0	6.328301e-01	8.632417e-02	TYROBP;KLRC3;ITGB2;HLA-G
KEGG_2019_Human	Wnt signaling pathway	5/158	8.731274e-01	9.999956e-01	0	0	6.564078e-01	8.905737e-02	SFRP1;CCND2;CCND1;WIF1;SOST
KEGG_2019_Human	Chronic myeloid leukemia	2/76	8.803906e-01	9.999956e-01	0	0	5.434036e-01	6.922398e-02	CCND1;DDB2
KEGG_2019_Human	Carbohydrate digestion and absorption	1/44	8.816809e-01	9.999956e-01	0	0	4.678479e-01	5.891377e-02	G6PC
KEGG_2019_Human	Vasopressin-regulated water reabsorption	1/44	8.816809e-01	9.999956e-01	0	0	4.678479e-01	5.891377e-02	AQP2
KEGG_2019_Human	Cardiac muscle contraction	2/78	8.892106e-01	9.999956e-01	0	0	5.290477e-01	6.212141e-02	TNNC1;TNNT2
KEGG_2019_Human	Type II diabetes mellitus	1/46	8.926328e-01	9.999956e-01	0	0	4.470076e-01	5.077112e-02	PKLR
KEGG_2019_Human	Estrogen signaling pathway	4/137	8.933663e-01	9.999956e-01	0	0	6.040898e-01	6.811630e-02	TGFA;CALML3;ADCY8;EGFR
KEGG_2019_Human	Measles	4/138	8.965389e-01	9.999956e-01	0	0	5.995500e-01	6.547902e-02	CCND2;CCND1;IL2RB;TLR7
KEGG_2019_Human	Nucleotide excision repair	1/47	8.977229e-01	9.999956e-01	0	0	4.372671e-01	4.717842e-02	DDB2
KEGG_2019_Human	Sphingolipid metabolism	1/47	8.977229e-01	9.999956e-01	0	0	4.372671e-01	4.717842e-02	GAL3ST1
KEGG_2019_Human	TNF signaling pathway	3/110	8.977643e-01	9.999956e-01	0	0	5.633344e-01	6.075432e-02	CXCL10;EDN1;CCL5
KEGG_2019_Human	Amino sugar and nucleotide sugar metabolism	1/48	9.025719e-01	9.999956e-01	0	0	4.279410e-01	4.386691e-02	RENBP
KEGG_2019_Human	Hepatocellular carcinoma	5/168	9.037472e-01	9.999956e-01	0	0	6.158114e-01	6.232356e-02	GSTM3;CCND1;TGFA;EGFR;DDB2
KEGG_2019_Human	Cholinergic synapse	3/112	9.044263e-01	9.999956e-01	0	0	5.529396e-01	5.554522e-02	GNGT1;ADCY8;KCNJ2
KEGG_2019_Human	N-Glycan biosynthesis	1/50	9.115918e-01	9.999956e-01	0	0	4.104308e-01	3.799070e-02	MAN1C1
KEGG_2019_Human	Amyotrophic lateral sclerosis (ALS)	1/51	9.157839e-01	9.999956e-01	0	0	4.022011e-01	3.538358e-02	NOS1
KEGG_2019_Human	Neurotrophin signaling pathway	3/119	9.247604e-01	9.999956e-01	0	0	5.193806e-01	4.062624e-02	NGFR;BDNF;CALML3
KEGG_2019_Human	Sphingolipid signaling pathway	3/119	9.247604e-01	9.999956e-01	0	0	5.193806e-01	4.062624e-02	ADORA3;S1PR5;KNG1
KEGG_2019_Human	Fanconi anemia pathway	1/54	9.272058e-01	9.999956e-01	0	0	3.793751e-01	2.867305e-02	BRCA2
KEGG_2019_Human	Regulation of lipolysis in adipocytes	1/55	9.306582e-01	9.999956e-01	0	0	3.723300e-01	2.675682e-02	ADCY8
KEGG_2019_Human	Alcoholism	5/180	9.318237e-01	9.999956e-01	0	0	5.732200e-01	4.047598e-02	GNGT1;DDC;BDNF;CALML3;SLC6A3
KEGG_2019_Human	Cell cycle	3/124	9.367697e-01	9.999956e-01	0	0	4.977871e-01	3.251436e-02	CDKN2B;CCND2;CCND1
KEGG_2019_Human	Long-term depression	1/60	9.456160e-01	9.999956e-01	0	0	3.406869e-01	1.905077e-02	NOS1
KEGG_2019_Human	MicroRNAs in cancer	9/299	9.475806e-01	9.999956e-01	0	0	6.214846e-01	3.346273e-02	PDGFRB;PDGFRA;ABCB1;CCND2;CCND1;DDIT4;ITGA5;EGFR;VEGFA
KEGG_2019_Human	Longevity regulating pathway	2/102	9.570784e-01	9.999956e-01	0	0	4.015678e-01	1.761675e-02	KL;ADCY8
KEGG_2019_Human	Shigellosis	1/65	9.573498e-01	9.999956e-01	0	0	3.139881e-01	1.368563e-02	ITGA5
KEGG_2019_Human	Acute myeloid leukemia	1/66	9.593736e-01	9.999956e-01	0	0	3.091412e-01	1.282154e-02	CCND1
KEGG_2019_Human	C-type lectin receptor signaling pathway	2/104	9.604209e-01	9.999956e-01	0	0	3.936524e-01	1.589713e-02	KSR1;CALML3
KEGG_2019_Human	Fc epsilon RI signaling pathway	1/68	9.631380e-01	9.999956e-01	0	0	2.998815e-01	1.126313e-02	ALOX5
KEGG_2019_Human	Alzheimer disease	4/171	9.638770e-01	9.999956e-01	0	0	4.802370e-01	1.766868e-02	MME;NDUFA4L2;CALML3;NOS1
KEGG_2019_Human	RIG-I-like receptor signaling pathway	1/70	9.665539e-01	9.999956e-01	0	0	2.911587e-01	9.904709e-03	CXCL10
KEGG_2019_Human	Parkinson disease	3/142	9.668056e-01	9.999956e-01	0	0	4.329135e-01	1.461423e-02	UCHL1;NDUFA4L2;SLC6A3
KEGG_2019_Human	B cell receptor signaling pathway	1/71	9.681413e-01	9.999956e-01	0	0	2.869841e-01	9.291748e-03	CR2
KEGG_2019_Human	Adherens junction	1/72	9.696535e-01	9.999956e-01	0	0	2.829272e-01	8.718825e-03	EGFR
KEGG_2019_Human	NOD-like receptor signaling pathway	4/178	9.714507e-01	9.999956e-01	0	0	4.607463e-01	1.334543e-02	P2RX7;CASR;CCL5;GBP4
KEGG_2019_Human	Non-alcoholic fatty liver disease (NAFLD)	3/149	9.743411e-01	9.999956e-01	0	0	4.120048e-01	1.070960e-02	PKLR;NDUFA4L2;CYP2E1
KEGG_2019_Human	Oocyte meiosis	2/125	9.833530e-01	9.999956e-01	0	0	3.260817e-01	5.473966e-03	CALML3;ADCY8
KEGG_2019_Human	Salmonella infection	1/86	9.846419e-01	9.999956e-01	0	0	2.361531e-01	3.655013e-03	CCL4
KEGG_2019_Human	Hepatitis B	3/163	9.848207e-01	9.999956e-01	0	0	3.756760e-01	5.746206e-03	HSPG2;TLR3;DDB2
KEGG_2019_Human	Autophagy	2/128	9.853190e-01	9.999956e-01	0	0	3.182674e-01	4.707129e-03	DDIT4;PRAP1
KEGG_2019_Human	Fc gamma R-mediated phagocytosis	1/91	9.879590e-01	9.999956e-01	0	0	2.229747e-01	2.701133e-03	PTPRC
KEGG_2019_Human	mRNA surveillance pathway	1/91	9.879590e-01	9.999956e-01	0	0	2.229747e-01	2.701133e-03	PABPC4L
KEGG_2019_Human	NF-kappa B signaling pathway	1/95	9.900893e-01	9.999956e-01	0	0	2.134414e-01	2.125914e-03	CCL4
KEGG_2019_Human	Progesterone-mediated oocyte maturation	1/99	9.918429e-01	9.999956e-01	0	0	2.046863e-01	1.676498e-03	ADCY8
KEGG_2019_Human	Huntington disease	3/193	9.952536e-01	9.999956e-01	0	0	3.158564e-01	1.502752e-03	DNAH11;BDNF;NDUFA4L2
KEGG_2019_Human	Protein processing in endoplasmic reticulum	2/165	9.969781e-01	9.999956e-01	0	0	2.455417e-01	7.431216e-04	MAN1C1;CRYAA
KEGG_2019_Human	Herpes simplex virus 1 infection	12/492	9.970542e-01	9.999956e-01	0	0	4.971627e-01	1.466682e-03	C3;ZNF320;HLA-DRB4;CCL5;HLA-DPB1;TAP1;ITGA5;HLA-F;HLA-G;HLA-DQA1;TLR3;HLA-DQB1
KEGG_2019_Human	Ubiquitin mediated proteolysis	1/137	9.987181e-01	9.999956e-01	0	0	1.471989e-01	1.888084e-04	DDB2
KEGG_2019_Human	Thermogenesis	3/231	9.989708e-01	9.999956e-01	0	0	2.626835e-01	2.704863e-04	PRDM16;NDUFA4L2;ADCY8
KEGG_2019_Human	Necroptosis	1/162	9.996197e-01	9.999956e-01	0	0	1.241776e-01	4.723729e-05	TLR3
KEGG_2019_Human	RNA transport	1/165	9.996711e-01	9.999956e-01	0	0	1.218867e-01	4.009477e-05	PABPC4L
KEGG_2019_Human	Olfactory transduction	3/444	9.999956e-01	9.999956e-01	0	0	1.342726e-01	5.843263e-07	OR51E1;OR51E2;CALML3
