Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
KEGG_2019_Human	Gap junction	9/88	2.317012e-02	1.035263e-01	0	0	2.307053e+00	8.685805e+00	PDGFRB;PDGFRA;GJA1;TUBB2B;TUBAL3;EGF;PDGFD;ADCY8;EGFR
KEGG_2019_Human	Prion diseases	5/35	2.341230e-02	1.035263e-01	0	0	3.369465e+00	1.265064e+01	C1QB;C1QA;C7;CCL5;C1QC
KEGG_2019_Human	Gastric acid secretion	8/75	2.506117e-02	1.074592e-01	0	0	2.416956e+00	8.909952e+00	KCNJ10;KCNK10;KCNJ15;SLC26A7;CALML3;ADCY8;KCNJ1;KCNJ2
KEGG_2019_Human	Glioma	8/75	2.506117e-02	1.074592e-01	0	0	2.416956e+00	8.909952e+00	PDGFRB;PDGFRA;CCND1;EGF;TGFA;CALML3;EGFR;DDB2
KEGG_2019_Human	Vitamin B6 metabolism	2/6	2.952349e-02	1.239238e-01	0	0	1.009004e+01	3.554287e+01	PSAT1;AOX1
KEGG_2019_Human	Vibrio cholerae infection	6/50	2.977674e-02	1.239238e-01	0	0	2.757737e+00	9.690764e+00	ATP6V0A4;ATP6V1G3;ATP6V0E2;ATP6V0D2;ATP6V1B1;ATP6V1C2
KEGG_2019_Human	Autoimmune thyroid disease	6/53	3.824102e-02	1.568436e-01	0	0	2.581304e+00	8.424979e+00	HLA-DRB4;HLA-DPB1;HLA-F;HLA-G;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	Bladder cancer	5/41	4.294960e-02	1.711935e-01	0	0	2.807002e+00	8.835679e+00	CCND1;EGF;MMP1;EGFR;VEGFA
KEGG_2019_Human	Fat digestion and absorption	5/41	4.294960e-02	1.711935e-01	0	0	2.807002e+00	8.835679e+00	FABP1;SCARB1;MTTP;CD36;CEL
KEGG_2019_Human	Phenylalanine metabolism	3/17	4.369578e-02	1.717487e-01	0	0	4.326617e+00	1.354449e+01	DDC;GLYAT;HPD
KEGG_2019_Human	Bile secretion	7/72	5.342448e-02	2.071113e-01	0	0	2.177816e+00	6.379882e+00	SCARB1;ABCB1;SLC51B;ADCY8;SLC22A8;NR0B2;SLC22A7
KEGG_2019_Human	GABAergic synapse	8/89	5.953887e-02	2.245023e-01	0	0	1.997736e+00	5.635865e+00	GNGT1;GABRA2;GABRP;PLCL1;ABAT;SLC6A1;ADCY8;GABRD
KEGG_2019_Human	ABC transporters	5/45	6.014812e-02	2.245023e-01	0	0	2.525770e+00	7.099802e+00	ABCB1;TAP1;DEFB1;ABCA8;ABCA12
KEGG_2019_Human	Leishmaniasis	7/74	6.029037e-02	2.245023e-01	0	0	2.112584e+00	5.933367e+00	C3;HLA-DRB4;ITGA4;ITGB2;HLA-DPB1;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	TGF-beta signaling pathway	8/90	6.277432e-02	2.282436e-01	0	0	1.973270e+00	5.462423e+00	LEFTY1;CDKN2B;NOG;ID3;INHBB;INHBA;BMPR1B;DCN
KEGG_2019_Human	Calcium signaling pathway	14/188	6.290814e-02	2.282436e-01	0	0	1.629915e+00	4.508474e+00	PDGFRB;PDGFRA;PTGER1;TNNC1;CXCR4;CALML3;ADCY8;EGFR;P2RX7;EDNRA;EDNRB;ERBB4;NOS1;PLCD4
KEGG_2019_Human	Pancreatic cancer	7/75	6.391691e-02	2.289463e-01	0	0	2.081407e+00	5.724226e+00	CCND1;EGF;TGFA;BRCA2;EGFR;DDB2;VEGFA
KEGG_2019_Human	Fluid shear stress and atherosclerosis	11/139	6.561492e-02	2.289463e-01	0	0	1.739522e+00	4.738375e+00	GSTM3;MEF2C;EDN1;CAV2;CAV1;KDR;PECAM1;CALML3;BMPR1B;ASS1;VEGFA
KEGG_2019_Human	Chemokine signaling pathway	14/190	6.741471e-02	2.289463e-01	0	0	1.611222e+00	4.345292e+00	CX3CR1;CCL11;CXCR4;ADCY8;GNGT1;CXCL10;CXCL11;CXCR1;CCL5;CCL4;CCR6;CCR5;CCL18;CCL28
KEGG_2019_Human	Pertussis	7/76	6.767303e-02	2.289463e-01	0	0	2.051134e+00	5.523841e+00	C1QB;C3;C1QA;ITGB2;CALML3;ITGA5;C1QC
KEGG_2019_Human	Glycerolipid metabolism	6/61	6.772202e-02	2.289463e-01	0	0	2.204913e+00	5.936384e+00	ALDH1B1;GK;MOGAT1;GLYCTK;PNPLA3;CEL
KEGG_2019_Human	MAPK signaling pathway	20/295	6.827058e-02	2.289463e-01	0	0	1.474887e+00	3.959005e+00	DUSP4;PDGFRB;NGFR;PDGFRA;MEF2C;FLT1;ANGPT2;BDNF;EGF;TGFA;FGF1;AREG;DUSP9;EGFR;VEGFA;FGF9;ERBB4;PDGFD;KDR;FGF10
KEGG_2019_Human	Human cytomegalovirus infection	16/225	6.876480e-02	2.289463e-01	0	0	1.551268e+00	4.152843e+00	PDGFRA;PTGER1;IL10RA;CXCR4;TAP1;CALML3;HLA-F;ADCY8;HLA-G;EGFR;VEGFA;GNGT1;CCND1;CCL5;CCL4;CCR5
KEGG_2019_Human	Endocrine and other factor-regulated calcium reabsorption	5/48	7.526552e-02	2.476761e-01	0	0	2.349183e+00	6.076710e+00	KL;CALB1;KLK1;VDR;PTH1R
KEGG_2019_Human	Synthesis and degradation of ketone bodies	2/10	7.816466e-02	2.542597e-01	0	0	5.043962e+00	1.285674e+01	BDH2;BDH1
KEGG_2019_Human	Ovarian steroidogenesis	5/49	8.072127e-02	2.595923e-01	0	0	2.295672e+00	5.777640e+00	CYP2J2;SCARB1;ALOX5;ADCY8;CYP17A1
KEGG_2019_Human	JAK-STAT signaling pathway	12/162	8.318264e-02	2.597915e-01	0	0	1.619186e+00	4.026457e+00	PDGFRB;PDGFRA;CCND2;CCND1;EGF;IL10RA;IL3RA;IL2RB;IL20RB;AOX1;PRLR;EGFR
KEGG_2019_Human	Leukocyte transendothelial migration	9/112	8.363155e-02	2.597915e-01	0	0	1.767249e+00	4.385137e+00	CLDN10;ITGA4;CLDN8;ITGB2;CLDN19;PECAM1;CXCR4;CLDN16;RAPGEF4
KEGG_2019_Human	Regulation of actin cytoskeleton	15/214	8.372758e-02	2.597915e-01	0	0	1.526564e+00	3.786164e+00	PDGFRB;PDGFRA;ITGA4;EGF;ITGB2;CXCR4;FGF1;EGFR;KNG1;LPAR5;FGF9;PDGFD;PAK6;ITGA5;FGF10
KEGG_2019_Human	Amoebiasis	8/96	8.445519e-02	2.597915e-01	0	0	1.838147e+00	4.543043e+00	COL1A1;ARG2;COL1A2;COL4A1;LAMA4;ITGB2;COL4A6;CD1D
KEGG_2019_Human	Prostate cancer	8/97	8.844743e-02	2.688684e-01	0	0	1.817398e+00	4.407820e+00	PDGFRB;PDGFRA;CCND1;EGF;PDGFD;TGFA;TMPRSS2;EGFR
KEGG_2019_Human	Breast cancer	11/147	8.930610e-02	2.688684e-01	0	0	1.636505e+00	3.953282e+00	DLL4;HEYL;CCND1;FGF9;HEY1;EGF;FGF1;BRCA2;EGFR;FGF10;DDB2
KEGG_2019_Human	Histidine metabolism	3/23	9.254531e-02	2.711222e-01	0	0	3.027678e+00	7.206045e+00	ALDH1B1;CNDP1;FTCD
KEGG_2019_Human	Renin-angiotensin system	3/23	9.254531e-02	2.711222e-01	0	0	3.027678e+00	7.206045e+00	CPA3;KLK1;MME
KEGG_2019_Human	Chemical carcinogenesis	7/82	9.292882e-02	2.711222e-01	0	0	1.886447e+00	4.482049e+00	GSTM3;ADH1C;ADH1B;UGT2B17;UGT2B28;CYP2E1;ADH6
KEGG_2019_Human	African trypanosomiasis	4/37	9.587020e-02	2.716427e-01	0	0	2.447533e+00	5.738877e+00	LAMA4;APOL1;KNG1;IDO1
KEGG_2019_Human	Primary immunodeficiency	4/37	9.587020e-02	2.716427e-01	0	0	2.447533e+00	5.738877e+00	PTPRC;CD8A;TAP1;ICOS
KEGG_2019_Human	Epstein-Barr virus infection	14/201	9.598680e-02	2.716427e-01	0	0	1.515561e+00	3.551784e+00	ENTPD1;CR2;HLA-DRB4;TAP1;HLA-F;HLA-G;DDB2;SAP30;CXCL10;CCND2;CCND1;HLA-DPB1;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	ErbB signaling pathway	7/85	1.072822e-01	3.006025e-01	0	0	1.813604e+00	4.048496e+00	NRG3;ERBB4;EGF;TGFA;PAK6;AREG;EGFR
KEGG_2019_Human	Nicotine addiction	4/40	1.190857e-01	3.304044e-01	0	0	2.243218e+00	4.773370e+00	GABRA2;GABRP;GABRD;GRIA4
KEGG_2019_Human	Folate biosynthesis	3/26	1.226886e-01	3.370958e-01	0	0	2.632348e+00	5.522945e+00	QDPR;GCH1;GGH
KEGG_2019_Human	p53 signaling pathway	6/72	1.248386e-01	3.397051e-01	0	0	1.836364e+00	3.820983e+00	CCND2;CCND1;IGFBP3;SERPINE1;DDB2;RPRM
KEGG_2019_Human	Pyrimidine metabolism	5/57	1.314610e-01	3.543186e-01	0	0	1.941674e+00	3.939745e+00	ENTPD1;DPYS;ENTPD5;UPP2;ENPP3
KEGG_2019_Human	Porphyrin and chlorophyll metabolism	4/42	1.357782e-01	3.625022e-01	0	0	2.124930e+00	4.242917e+00	ALAD;UGT2B28;UGT2B17;CP
KEGG_2019_Human	Th1 and Th2 cell differentiation	7/92	1.450281e-01	3.824888e-01	0	0	1.663635e+00	3.212192e+00	DLL4;HLA-DRB4;IL2RB;HLA-DPB1;GATA3;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	Lysine degradation	5/59	1.459675e-01	3.824888e-01	0	0	1.869564e+00	3.597735e+00	HYKK;ECHS1;ALDH1B1;PIPOX;HADH
KEGG_2019_Human	Steroid hormone biosynthesis	5/60	1.534668e-01	3.984504e-01	0	0	1.835475e+00	3.440178e+00	HSD11B2;UGT2B17;UGT2B28;CYP2E1;CYP17A1
KEGG_2019_Human	Proteoglycans in cancer	13/201	1.579414e-01	4.063402e-01	0	0	1.398246e+00	2.580507e+00	CAV2;CAV1;ANK2;HSPG2;EGFR;DCN;VEGFA;CCND1;ERBB4;KDR;GPC3;COL21A1;ITGA5
KEGG_2019_Human	Toxoplasmosis	8/113	1.664162e-01	4.242863e-01	0	0	1.539161e+00	2.760122e+00	HLA-DRB4;LAMA4;ALOX5;IL10RA;HLA-DPB1;CCR5;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	FoxO signaling pathway	9/132	1.734412e-01	4.382489e-01	0	0	1.478330e+00	2.589910e+00	CDKN2B;CCND2;G6PC;CCND1;EGF;PLK2;PCK1;EGFR;PCK2
KEGG_2019_Human	Systemic lupus erythematosus	9/133	1.788082e-01	4.398876e-01	0	0	1.466330e+00	2.524202e+00	C3;C1QB;C1QA;HLA-DRB4;C7;HLA-DPB1;HLA-DQA1;HLA-DQB1;C1QC
KEGG_2019_Human	Galactose metabolism	3/31	1.793182e-01	4.398876e-01	0	0	2.161718e+00	3.715115e+00	G6PC;GALM;PFKP
KEGG_2019_Human	Cysteine and methionine metabolism	4/47	1.811913e-01	4.398876e-01	0	0	1.877352e+00	3.206895e+00	BHMT;TST;AGXT2;CTH
KEGG_2019_Human	Hedgehog signaling pathway	4/47	1.811913e-01	4.398876e-01	0	0	1.877352e+00	3.206895e+00	CCND2;CCND1;HHIP;CDON
KEGG_2019_Human	Endocytosis	15/244	1.818617e-01	4.398876e-01	0	0	1.324467e+00	2.257566e+00	PDGFRA;CAV2;CAV1;CXCR4;HLA-F;HLA-G;EGFR;EPN3;EHD2;CXCR1;IL2RB;FOLR3;CCR5;FOLR1;SH3GL2
KEGG_2019_Human	Nitrogen metabolism	2/17	1.908266e-01	4.518417e-01	0	0	2.689124e+00	4.454239e+00	CA4;CA9
KEGG_2019_Human	Primary bile acid biosynthesis	2/17	1.908266e-01	4.518417e-01	0	0	2.689124e+00	4.454239e+00	ACOX2;CYP8B1
KEGG_2019_Human	Central carbon metabolism in cancer	5/65	1.931903e-01	4.518417e-01	0	0	1.682076e+00	2.765467e+00	PDGFRB;PDGFRA;EGFR;PFKP;PDK1
KEGG_2019_Human	Inflammatory bowel disease (IBD)	5/65	1.931903e-01	4.518417e-01	0	0	1.682076e+00	2.765467e+00	HLA-DRB4;HLA-DPB1;GATA3;HLA-DQA1;HLA-DQB1
KEGG_2019_Human	Taste transduction	6/83	1.989698e-01	4.562800e-01	0	0	1.573114e+00	2.539953e+00	GABRA2;SCNN1G;SCNN1B;SCNN1A;ADCY8;SCN2A
KEGG_2019_Human	Hepatitis C	10/155	1.993722e-01	4.562800e-01	0	0	1.393236e+00	2.246707e+00	SCARB1;CXCL10;CLDN10;CCND1;EGF;CLDN8;CLDN19;CLDN16;TLR3;EGFR
KEGG_2019_Human	Malaria	4/49	2.006076e-01	4.562800e-01	0	0	1.793725e+00	2.881448e+00	ITGB2;PECAM1;CD36;THBS2
KEGG_2019_Human	Non-small cell lung cancer	5/66	2.015371e-01	4.562800e-01	0	0	1.654414e+00	2.650010e+00	CCND1;EGF;TGFA;EGFR;DDB2
KEGG_2019_Human	AMPK signaling pathway	8/120	2.079952e-01	4.671637e-01	0	0	1.442431e+00	2.264963e+00	PFKFB2;G6PC;CCND1;CD36;PCK1;FBP1;PFKP;PCK2
KEGG_2019_Human	Chagas disease (American trypanosomiasis)	7/103	2.149366e-01	4.789533e-01	0	0	1.472156e+00	2.263310e+00	C3;C1QB;C1QA;CCL5;SERPINE1;KNG1;C1QC
KEGG_2019_Human	Colorectal cancer	6/86	2.215493e-01	4.799713e-01	0	0	1.513883e+00	2.281588e+00	CCND1;EGF;TGFA;AREG;EGFR;DDB2
KEGG_2019_Human	Toll-like receptor signaling pathway	7/104	2.218327e-01	4.799713e-01	0	0	1.456902e+00	2.193849e+00	CXCL10;CXCL11;CCL5;CCL4;TLR8;TLR7;TLR3
